ESTACION;ESTC;TIPO;DEPARTAMEN;DIST;LON;LAT;ALT;CODIGO
AGOCANCHA;SENAMHI;EMA;Lima;Lima;-76.16;-11.71;4480;472BF518
ANDACANCHA;SENAMHI;EMA;Lima;Lima;-76.47;-11.17;4620;472BC082
ANTACOTO;SENAMHI;EMA;Lima;Lima;-76.36;-11.41;4484;47E9C112
CALLANCA;SENAMHI;EMA;Lima;Lima;-76.77;-11.39;2641;47E244AE
CARAC;SENAMHI;EMA;Lima;Lima;-76.78;-11.19;2646;47E323B2
CARANIA;SENAMHI;EMA;Lima;Lima;-75.87;-12.34;3820;472364DC
CASAPALCA;SENAMHI;EMA;Lima;Lima;-76.23;-11.64;4233;472D73C2
CHOSICA;SENAMHI;EMA;Lima;Lima;-76.69;-11.93;867;47278214
COLLAC;SENAMHI;EMA;Lima;Lima;-76.47;-11.36;4493;472BD3F4
CUCHUANCA;SENAMHI;EMA;Lima;Lima;-76.79;-11.2;2310;47E2323E
EMA-ANTONIO_RAIMONDI;SENAMHI;EMA;Lima;Lima;-77.15;-11.78;47;472A218A
HUAROS;SENAMHI;EMA;Lima;Lima;-76.57;-11.4;3585;4725F170
MATUCANA;SENAMHI;EMA;Lima;Lima;-76.38;-11.84;2417;472CE45A
MARCAPOMACOCHA;SENAMHI;EMA;Lima;Lima;-76.33;-11.4;4447;472D9030
MARCAPOMACOCHA_EDEGEL;SENAMHI;EMA;Lima;Lima;-76.33;-11.41;4482.6;47E8C3E8
MILLOC_EDEGEL;SENAMHI;EMA;Lima;Lima;-76.35;-11.57;4377;472542FE
OBRAJILLO;SENAMHI;EMA;Lima;Lima;-76.63;-11.45;2750;47E9F488
PALLAC_EMA;SENAMHI;EMA;Lima;Lima;-76.81;-11.35;2367;47E31628
PATAHUAY_SAPICANCHA;SENAMHI;EMA;Lima;Lima;-76.38;-11.34;4550;47E9E7FE
PIRCA;SENAMHI;EMA;Lima;Lima;-76.66;-11.23;3342;47E34654
PUENTE_CALLANTAMA;SENAMHI;EMA;Lima;Lima;-76.66;-11.22;2773;47E22148
PUENTE_MAGDALENA;SENAMHI;EMA;Lima;Lima;-76.84;-11.68;935;4721725E
PUENTE_SALIDA_MARCAPOMACOCHA;SENAMHI;EMA;Lima;Lima;-76.32;-11.41;4435;472BE66E
SAN_CRISTOBAL;SENAMHI;EMA;Lima;Lima;-76.05;-11.74;4680;472C07A8
SAN_MATEO_DE_OTAO;SENAMHI;EMA;Lima;Lima;-76.56;-11.85;3513;472EC742
SANTA_EULALIA;SENAMHI;EMA;Lima;Lima;-76.67;-11.92;970;472E24B0
SANTA_CRUZ;SENAMHI;EMA;Lima;Lima;-76.63;-11.2;3583;47E33064
SANTIAGO_DE_TUNA;SENAMHI;EMA;Lima;Lima;-76.52;-11.98;2924;472CA750
SANTO_DOMINGO;SENAMHI;EMA;Lima;Lima;-77.03;-11.37;620;47E214D2
SAYAN;SENAMHI;EMA;Lima;Lima;-77.2;-11.13;647;4724966C
SHEQUE;SENAMHI;EMA;Lima;Lima;-76.5;-11.66;3188;472CD1C0
TOROCOCHA;SENAMHI;EMA;Lima;Lima;-76.44;-11.37;4410;472C2144
VICHAYCOCHA;SENAMHI;EMA;Lima;Lima;-76.62;-11.14;3533;47E257D8
VILLA_MARIA_DEL_TRIUNFO;SENAMHI;EMA;Lima;Lima;-76.92;-12.17;292;472A0766
VON_HUMBOLDT;SENAMHI;EMA;Lima;Lima;-76.94;-12.08;247;472AC278
YURACMAYO_EDEGEL;SENAMHI;EMA;Lima;Lima;-76.16;-11.84;4320;4726B574
HUASCACOCHA;SENAMHI;EMA;Lima;Lima;-76.38;-11.11;4487;47A0A5A6
SEGUE;SENAMHI;EMA;Lima;Lima;-76.48;-11.03;4609;47A0894A
CANAL_CASHAMPA;SENAMHI;EMA;Lima;Lima;-76.46;-11.23;4563;47A09A3C
12_DE_OCTUBRE;SENAMHI;EMA;Lima;Lima;-76.53;-10.61;3848;110137
TARMA;SENAMHI;EMA;Lima;Lima;-75.69;-11.4;3200;47257764
PARIACANCHA;SENAMHI;EMA;Lima;Lima;-76.48;-11.39;3946;472B90FE
TAMBORAQUE;SENAMHI;EMA;Lima;Lima;-76.31;-11.78;2918;47E9040C
RIO_BLANCO;SENAMHI;EMA;Lima;Lima;-76.26;-11.73;3600;212604
SHEQUE_SEDAPAL;SENAMHI;EMA;Lima;Lima;-76.51;-11.65;3150;472C14DE
AUTISHA;SENAMHI;EMA;Lima;Lima;-76.61;-11.73;2144;47A03AC4
