"CODE","ESTACION","LON","LAT","ALT"
"X111290","NANA",-76.84194,-11.98744,NA
"X47A06AB8","YURACMAYO LAGUNA",-76.15306,-11.83833,NA
"X472BA564","YASO",-76.77167,-11.57833,NA
"X4726B574","YURACMAYO EDEGEL",-76.15556,-11.84056,4320
"X472A0766","VILLA MARIA DEL TRIUNFO",-76.92,-12.16639,292
"X472AC278","VON HUMBOLDT",-76.93931,-12.08221,247
"X112181","CAMPO DE MARTE",-77.0432,-12.07057,NA
"X47A09A3C","CANAL CASHAMPA",-76.46167,-11.23,NA
"X47A04C54","BOCATOMA ATARJEA",-76.96417,-12.02528,NA
"X47A03AC4","AUTISHA",-76.60639,-11.73361,NA
"X47A00F5E","ANTIOQUIA",-76.52889,-12.06611,NA
"X472C2144","TOROCOCHA",-76.44328,-11.368,4410
"X472CD1C0","SHEQUE",-76.5023,-11.66095,3188
"X472CA750","SANTIAGO DE TUNA",-76.52415,-11.98311,2924
"X47E214D2","SANTO DOMINGO",-77.02833,-11.37,620
"X472E24B0","SANTA EULALIA",-76.66664,-11.92,970
"X472C07A8","SAN CRISTOBAL",-76.05328,-11.73986,4680
"X472EC742","SAN MATEO DE OTAO",-76.56359,-11.84696,3513
"X472BE66E","PUENTE SALIDA MARCAPOMACOCHA",-76.32006,-11.41256,4435
"X4721725E","PUENTE MAGDALENA",-76.83728,-11.6846,935
"X47E9E7FE","PATAHUAY SAPICANCHA",-76.38294,-11.342,4550
"X47E34654","PIRCA",-76.65514,-11.23284,3342
"X472542FE","MILLOC EDEGEL",-76.35011,-11.57056,4377
"X47E9F488","OBRAJILLO",-76.62603,-11.45481,2750
"X472D9030","MARCAPOMACOCHA",-76.32508,-11.40443,4447
"X47E8C3E8","MARCAPOMACOCHA EDEGEL",-76.33118,-11.40867,4482.6
"X4725F170","HUAROS",-76.56667,-11.4,3585
"X472CE45A","MATUCANA",-76.37792,-11.83913,2417
"X472A218A","EMA-ANTONIO RAIMONDI",-77.15139,-11.77606,47
"X47278214","CHOSICA",-76.68973,-11.92985,867
"X472BD3F4","COLLAC",-76.4705,-11.36111,4493
"X472D73C2","CASAPALCA",-76.23333,-11.63806,4233
"X47E9C112","ANTACOTO",-76.3625,-11.40778,4484
"X47E244AE","CALLANCA",-76.76952,-11.38887,2641
"X472BF518","AGOCANCHA",-76.15944,-11.71053,4480
"X47E9040C","TAMBORAQUE",-76.30986,-11.78486,NA
"X472C14DE","SHEQUE SEDAPAL",-76.5075,-11.65333,NA
"X112271","SANTA ANITA",-76.91861,-12.02611,NA
"X112270","SAN BORJA",-77.00777,-12.10863,NA
"X212604","RIO BLANCO",-76.25961,-11.73447,NA
"X47A05F22","PUENTE CUPICHE",-76.60972,-11.91417,NA
"X472B90FE","PARIACANCHA",-76.48,-11.39139,NA
