"Station","472BF518","472BC082","47E9C112","47E244AE","47E323B2","472364DC","472D73C2","47278214","472BD3F4","47E2323E","472A218A","4725F170","472CE45A","472D9030","47E8C3E8","472542FE","47E9F488","47E31628","47E9E7FE","47E34654","47E22148","4721725E","472BE66E","472C07A8","472EC742","472E24B0","47E33064","472CA750","47E214D2","4724966C","472CD1C0","472C2144","47E257D8","472A0766","472AC278","4726B574","47A0A5A6","47A0894A","47A09A3C","110137","47257764","472B90FE","47E9040C","212604","472C14DE","47A03AC4"
"2021-10-07 01:00:00","0","0","0","0","0","0","0.6","0","0","0","0","0","0","0","0",NA,"0","0","0","0","0",NA,"0","0.1","0","0",NA,"0","0","0",NA,"0","0",NA,"0",NA,NA,NA,"0.6","4.4","0","0",NA,"0.5","0","0"
"2021-10-07 02:00:00","0.1","0","0","0","0","0","0.5","0","0.9","0","0","0","0","0","0",NA,"0","0","0.3","0","0",NA,"0","0","0","0",NA,"0","0","0",NA,"0.5","0",NA,"0",NA,NA,NA,"0.4","4.2","0","0",NA,"0.6","0","0"
"2021-10-07 03:00:00","0.2","0","0.5","0","0","0","0","0","0.7","0","0","0","0","0","0",NA,"0","0","0.5","0.1","0",NA,"0","0","0","0",NA,"0","0","0",NA,"0.5","0.2",NA,"0",NA,NA,NA,"0.2","2","0","0.7",NA,"0","0","0"
"2021-10-07 04:00:00","0","0","0","0","0","0","0","0","0.6","0","0","0","0","0","0.2",NA,"0","0","0.2","0","0",NA,"0.2","0","0","0",NA,"0","0","0",NA,"0.2","0.2",NA,"0",NA,NA,NA,"0.1","0","0","0.4",NA,"0","0","0"
"2021-10-07 05:00:00","0","0","0","0","0","0","0","0","0.5","0","0","0","0","0","0",NA,"0","0","0.2","0","0",NA,"0","0.1","0","0",NA,"0","0","0",NA,"0","0",NA,"0",NA,NA,NA,"0.1","0.1","0","0.1",NA,"0","0","0"
"2021-10-07 06:00:00","0","0","0","0","0.9","0","0","0","0.2","0.4","0","0","0","0","0",NA,"0","0","0.1","0","0",NA,"0","0.1","0","0",NA,"0","0","0",NA,"0","0.1",NA,"0",NA,NA,NA,"0","0.1","0","0",NA,"0","0","0"
"2021-10-07 07:00:00","0","0","0","0","0.4","0","0","0","0.2","0.4","0","0","0","0.2","0",NA,"0","0.1","0","0.3","0",NA,"0.2","0","0","0",NA,"0","0","0",NA,"0","0",NA,"0",NA,NA,NA,"0.2","0","0","0",NA,"0","0","0"
"2021-10-07 08:00:00","0","1.4","0","0","0.1","0","0","0","0","0.1","0","0","0","0.2","0.2",NA,"0","0.1","0","0","0",NA,"0","0","0","0",NA,"0","0","0",NA,"0","0.1",NA,"0",NA,NA,NA,"0","0","0","0",NA,"0","0","0"
"2021-10-07 09:00:00","0.1","4.4","0.1","0","0","0","0","0","0","0","0","0","0","0","0",NA,"0","0","0","0","0",NA,"0","0","0","0",NA,"0","0","0",NA,"0","0",NA,"0",NA,NA,NA,"0","0","0","0",NA,"0","0","0"
"2021-10-07 10:00:00","0.9","0.9","0","0","0","0","0.4","0","0.1","0","0","0","0","0","0",NA,"0","0","0","0","0",NA,"0","0.1","0","0",NA,"0","0","0",NA,"0.5","0",NA,"0",NA,NA,NA,"0","0","0","0.1",NA,"0.1","0","0"
"2021-10-07 11:00:00","0.6","0","0.2","0","0","0","0","0","0","0","0","0","0","0","0",NA,"0","0","0","0","0",NA,"0","0.8","0","0",NA,"0","0","0",NA,"0.1","0",NA,"0",NA,NA,NA,"0","0","0","0",NA,"0.4","0","0"
